exit,crossSt,dir,lat,long,interstate,exits
350,SR 23 Cecil Commerce Center Parkway Beaver St,West,30.30797,-81.86740999999999,Interstate 10,Exit 350
351,SR 115-C Chaffee Rd,East,30.30915,-81.84853000000001,Interstate 10,Exit 351
351,SR 115-C Chaffee Rd,West,30.30933,-81.84855999999999,Interstate 10,Exit 351
355,Marietta Hammond Blvd,East,30.314759999999996,-81.79673000000001,Interstate 10,Exit 355
355,Marietta Hammond Blvd,West,30.3152,-81.78708,Interstate 10,Exit 355
356,I-295,East,30.315179999999998,-81.77516999999999,Interstate 10,Exit 356
356,I-295,West,30.31585,-81.76204,Interstate 10,Exit 356
357,SR 103 Lane Ave,East,30.3155,-81.75616,Interstate 10,Exit 357
357,SR 103 Lane Ave,West,30.31602,-81.74865,Interstate 10,Exit 357
358,SR 111 Cassat Ave Edgewood Ave,East,30.31721,-81.73408,Interstate 10,Exit 358
358,SR 111 Cassat Ave Edgewood Ave,West,30.318620000000003,-81.72756,Interstate 10,Exit 358
359,Luna St Waller,West,30.320940000000004,-81.71658000000001,Interstate 10,Exit 359
360,SR 129 McDuff Ave Rayford,East,30.320859999999996,-81.70904,Interstate 10,Exit 360
360,SR 129 McDuff Ave Waller,West,30.32136,-81.70181,Interstate 10,Exit 360
361,US 17 Roosevelt Blvd,West,30.3219,-81.69821,Interstate 10,Exit 361
362,Stockton St,East,30.320729999999998,-81.69256,Interstate 10,Exit 362
362,Stockton St,West,30.32145,-81.68432,Interstate 10,Exit 362
