date,text,type,username,tweet,state,road_closure,modified_text,location
2016-10-08 15:53:25+00:00,new  disabled vehicle in duval on i-295 e north ramp to exit 51 beach blvd ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 E north ramp to Exit 51 Beach Blvd ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 East North Ramp To Exit 51 Beach Blvd ,{'Interstate 295 East North Ramp To Exit 51 Beach Blvd'}
2016-10-08 15:45:07+00:00,st  johns river bridge  sr16  at green cove springs closed  ,official,fl511_northeast,St  Johns River Bridge  SR16  at Green Cove Springs closed  ,Florida,1,At St  Johns River Bridge  Sr16  At Green Cove Springs Closed  ,{'Johns River Bridge'}
2016-10-08 15:43:35+00:00,new  disabled vehicle in duval on i-10 east ramp to exit 356 i-295 w ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-10 east ramp to Exit 356 I-295 W ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 10 East Ramp To Exit 356 Interstate 295 West ,"{'Interstate 10 East Ramp', 'Interstate 295 West'}"
2016-10-08 15:23:30+00:00,amelia island  the thomas j  shave jr  bridge on sr-200 at kingsley creek is closed in both directions due to severe weather ,official,fl511_northeast,AMELIA ISLAND  THE THOMAS J  SHAVE JR  BRIDGE ON SR-200 AT KINGSLEY CREEK IS CLOSED IN BOTH DIRECTIONS DUE TO SEVERE WEATHER ,Florida,1,At Amelia Island  The Thomas J  Shave Jr  Bridge On Sr-200 At Kingsley Creek Is Closed In Both Directions Due To Severe Weather ,"{'Kingsley Creek', 'Amelia Island'}"
2016-10-08 15:03:03+00:00,new  disabled vehicle in duval on i-295 w south before us-17 right shoulder blocked ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 W south before US-17 right shoulder blocked ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West South Before Us-17 Right Shoulder Blocked ,{'Interstate 295 West South'}
2016-10-08 14:48:13+00:00,update  weather event in nassau on i-95 north beyond us-17 all lanes blocked ,official,fl511_northeast,UPDATE  Weather event in Nassau on I-95 north beyond US-17 all lanes blocked ,Florida,1,At Update  Weather Event At Nassau At Interstate 95 North Beyond Us-17 All Lanes Blocked ,{'Interstate 95 North Beyond Us-17'}
2016-10-08 14:43:24+00:00,update  traffic congestion in columbia on i-75 south before i-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Columbia on I-75 south before I-10 ,Florida,1,At Update  Traffic Congestion At Columbia At Interstate 75 South Before Interstate 10 ,{'Interstate 75 South Before Interstate 10'}
2016-10-08 14:43:23+00:00,update  traffic congestion in columbia on i-10 east before i-75 ,official,fl511_northeast,UPDATE  Traffic congestion in Columbia on I-10 east before I-75 ,Florida,1,At Update  Traffic Congestion At Columbia At Interstate 10 East Before Interstate 75 ,{'Interstate 10 East Before Interstate 75'}
2016-10-08 14:26:28+00:00,sr a1a in ponte verda and st  augustine closed   #matthew,official,fl511_northeast,SR A1A IN PONTE VERDA AND ST  AUGUSTINE CLOSED   #Matthew,Florida,1,At State Roada1A In Ponte Verda And St  Augustine Closed   #Matthew,
2016-10-08 14:08:02+00:00,new  traffic congestion in columbia on i-75 south before i-10 ,official,fl511_northeast,NEW  Traffic congestion in Columbia on I-75 south before I-10 ,Florida,1,At New  Traffic Congestion At Columbia At Interstate 75 South Before Interstate 10 ,{'Interstate 75 South Before Interstate 10'}
